latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,cluster,satellite_source
22.57472,70.22886,301.36,0.43,0.38,2024-01-17,2046,N21,VIIRS,n,2.0NRT,290.51,0.85,N,jamnagar,VIIRS_NOAA21_NRT
22.33588,69.86827,302.66,0.46,0.39,2024-01-21,2112,N21,VIIRS,n,2.0NRT,288.87,2.26,N,jamnagar,VIIRS_NOAA21_NRT
22.33821,69.85509,303.19,0.46,0.39,2024-01-21,2112,N21,VIIRS,n,2.0NRT,287.22,2.8,N,jamnagar,VIIRS_NOAA21_NRT
22.33513,69.86758,309.77,0.4,0.37,2024-01-22,2053,N21,VIIRS,n,2.0NRT,296.98,2.54,N,jamnagar,VIIRS_NOAA21_NRT
22.40527,70.03604,297.96,0.4,0.37,2024-01-22,2053,N21,VIIRS,n,2.0NRT,285.87,0.4,N,jamnagar,VIIRS_NOAA21_NRT
22.33468,69.86802,312.58,0.38,0.36,2024-01-27,2057,N21,VIIRS,n,2.0NRT,297.27,3.37,N,jamnagar,VIIRS_NOAA21_NRT
22.34027,69.85386,309.59,0.38,0.36,2024-01-27,2057,N21,VIIRS,n,2.0NRT,295.39,1.56,N,jamnagar,VIIRS_NOAA21_NRT
22.40093,70.20692,338.34,0.51,0.41,2024-01-28,811,N21,VIIRS,n,2.0NRT,301.42,5.23,D,jamnagar,VIIRS_NOAA21_NRT
22.33781,69.85523,298.13,0.35,0.57,2024-01-29,2021,N21,VIIRS,n,2.0NRT,281.81,1.82,N,jamnagar,VIIRS_NOAA21_NRT
22.33552,69.86745,309.23,0.4,0.37,2024-02-01,2103,N21,VIIRS,n,2.0NRT,296.43,2.71,N,jamnagar,VIIRS_NOAA21_NRT
22.33482,69.86697,301.81,0.57,0.69,2024-02-04,2008,N21,VIIRS,n,2.0NRT,291.53,2.63,N,jamnagar,VIIRS_NOAA21_NRT
22.26617,70.25596,340.53,0.48,0.4,2024-02-06,841,N21,VIIRS,n,2.0NRT,307.21,4.26,D,jamnagar,VIIRS_NOAA21_NRT
22.29241,70.215,338.29,0.39,0.36,2024-02-07,824,N21,VIIRS,n,2.0NRT,304.95,3.71,D,jamnagar,VIIRS_NOAA21_NRT
22.30672,70.25389,331.02,0.42,0.45,2024-02-08,805,N21,VIIRS,n,2.0NRT,292.38,3.28,D,jamnagar,VIIRS_NOAA21_NRT
22.32175,69.87984,302.12,0.45,0.47,2024-02-08,2033,N21,VIIRS,n,2.0NRT,285.72,1.1,N,jamnagar,VIIRS_NOAA21_NRT
22.36818,69.84513,336.64,0.45,0.47,2024-02-08,2033,N21,VIIRS,n,2.0NRT,282.96,4.45,N,jamnagar,VIIRS_NOAA21_NRT
22.36867,69.8408,308.53,0.45,0.47,2024-02-08,2033,N21,VIIRS,n,2.0NRT,281.67,4.45,N,jamnagar,VIIRS_NOAA21_NRT
22.36959,69.84222,338.28,0.45,0.47,2024-02-08,2033,N21,VIIRS,n,2.0NRT,286.92,8.94,N,jamnagar,VIIRS_NOAA21_NRT
22.32258,69.87849,310.75,0.45,0.63,2024-02-09,2014,N21,VIIRS,n,2.0NRT,289.34,2.54,N,jamnagar,VIIRS_NOAA21_NRT
22.3191,69.88147,297.61,0.71,0.75,2024-02-09,2154,N21,VIIRS,n,2.0NRT,286.93,2.28,N,jamnagar,VIIRS_NOAA21_NRT
22.26368,70.25771,330.66,0.39,0.59,2024-02-10,909,N21,VIIRS,l,2.0NRT,303.99,2.24,D,jamnagar,VIIRS_NOAA21_NRT
22.26706,70.25746,331.82,0.39,0.59,2024-02-10,909,N21,VIIRS,n,2.0NRT,305.14,1.8,D,jamnagar,VIIRS_NOAA21_NRT
22.31969,69.88351,312.66,0.35,0.57,2024-02-10,2135,N21,VIIRS,n,2.0NRT,289.73,1.6,N,jamnagar,VIIRS_NOAA21_NRT
22.32139,69.88319,317.16,0.35,0.57,2024-02-10,2135,N21,VIIRS,n,2.0NRT,290.03,1.82,N,jamnagar,VIIRS_NOAA21_NRT
22.33823,69.85574,305.89,0.35,0.57,2024-02-10,2135,N21,VIIRS,n,2.0NRT,295.33,3.07,N,jamnagar,VIIRS_NOAA21_NRT
22.32313,69.88324,336.64,0.55,0.43,2024-02-11,847,N21,VIIRS,n,2.0NRT,309.62,3.65,D,jamnagar,VIIRS_NOAA21_NRT
22.40177,70.26519,338.53,0.39,0.44,2024-02-11,847,N21,VIIRS,n,2.0NRT,309.28,4.07,D,jamnagar,VIIRS_NOAA21_NRT
22.32139,69.88075,336.04,0.54,0.42,2024-02-11,2118,N21,VIIRS,n,2.0NRT,280.85,6.84,N,jamnagar,VIIRS_NOAA21_NRT
22.3213,69.88052,314.75,0.36,0.57,2024-02-14,2021,N21,VIIRS,n,2.0NRT,291.0,2.27,N,jamnagar,VIIRS_NOAA21_NRT
22.3214,69.88082,302.45,0.36,0.57,2024-02-14,2021,N21,VIIRS,n,2.0NRT,290.5,1.81,N,jamnagar,VIIRS_NOAA21_NRT
22.32165,69.8771,321.73,0.36,0.57,2024-02-14,2021,N21,VIIRS,n,2.0NRT,290.78,2.27,N,jamnagar,VIIRS_NOAA21_NRT
22.32172,69.87738,324.19,0.36,0.57,2024-02-14,2021,N21,VIIRS,n,2.0NRT,290.92,1.81,N,jamnagar,VIIRS_NOAA21_NRT
22.43263,69.83253,299.83,0.36,0.58,2024-02-14,2021,N21,VIIRS,n,2.0NRT,289.2,0.79,N,jamnagar,VIIRS_NOAA21_NRT
22.32193,69.87608,322.85,0.73,0.76,2024-02-15,2001,N21,VIIRS,n,2.0NRT,292.33,5.71,N,jamnagar,VIIRS_NOAA21_NRT
22.32301,69.87685,320.75,0.73,0.76,2024-02-15,2001,N21,VIIRS,n,2.0NRT,292.11,6.42,N,jamnagar,VIIRS_NOAA21_NRT
22.32349,69.88464,302.88,0.45,0.63,2024-02-15,2142,N21,VIIRS,n,2.0NRT,291.61,1.08,N,jamnagar,VIIRS_NOAA21_NRT
22.32011,69.88168,299.46,0.45,0.47,2024-02-16,2125,N21,VIIRS,n,2.0NRT,289.21,1.4,N,jamnagar,VIIRS_NOAA21_NRT
22.33847,69.85487,306.79,0.44,0.46,2024-02-16,2125,N21,VIIRS,n,2.0NRT,295.98,2.2,N,jamnagar,VIIRS_NOAA21_NRT
22.32107,69.88248,313.66,0.4,0.37,2024-02-17,2103,N21,VIIRS,n,2.0NRT,294.57,1.12,N,jamnagar,VIIRS_NOAA21_NRT
22.33958,69.85426,310.86,0.4,0.37,2024-02-17,2103,N21,VIIRS,n,2.0NRT,298.89,2.22,N,jamnagar,VIIRS_NOAA21_NRT
22.37716,70.04816,338.2,0.44,0.38,2024-02-18,817,N21,VIIRS,n,2.0NRT,312.69,3.24,D,jamnagar,VIIRS_NOAA21_NRT
22.33458,69.86736,306.17,0.45,0.39,2024-02-18,2046,N21,VIIRS,n,2.0NRT,294.82,2.51,N,jamnagar,VIIRS_NOAA21_NRT
22.33993,69.85483,306.25,0.45,0.39,2024-02-18,2046,N21,VIIRS,n,2.0NRT,294.46,1.75,N,jamnagar,VIIRS_NOAA21_NRT
22.32156,69.88788,344.66,0.55,0.51,2024-02-19,758,N21,VIIRS,n,2.0NRT,296.36,18.54,D,jamnagar,VIIRS_NOAA21_NRT
22.28884,70.22568,340.95,0.39,0.36,2024-02-23,824,N21,VIIRS,l,2.0NRT,315.94,4.11,D,jamnagar,VIIRS_NOAA21_NRT
22.29276,70.22884,354.97,0.39,0.36,2024-02-23,824,N21,VIIRS,n,2.0NRT,314.63,6.86,D,jamnagar,VIIRS_NOAA21_NRT
22.3361,69.86774,309.92,0.4,0.37,2024-02-23,2053,N21,VIIRS,n,2.0NRT,297.98,2.68,N,jamnagar,VIIRS_NOAA21_NRT
22.3378,69.85617,308.97,0.4,0.37,2024-02-23,2053,N21,VIIRS,n,2.0NRT,297.52,3.3,N,jamnagar,VIIRS_NOAA21_NRT
22.57463,70.22853,308.47,0.39,0.37,2024-02-23,2053,N21,VIIRS,n,2.0NRT,287.21,0.72,N,jamnagar,VIIRS_NOAA21_NRT
22.33453,69.86755,308.98,0.46,0.39,2024-03-09,2112,N21,VIIRS,n,2.0NRT,297.97,2.97,N,jamnagar,VIIRS_NOAA21_NRT
22.3404,69.85513,307.74,0.46,0.39,2024-03-09,2112,N21,VIIRS,n,2.0NRT,295.96,3.29,N,jamnagar,VIIRS_NOAA21_NRT
22.33495,69.8693,307.82,0.4,0.37,2024-03-10,2053,N21,VIIRS,n,2.0NRT,297.63,3.37,N,jamnagar,VIIRS_NOAA21_NRT
22.34056,69.85452,308.12,0.4,0.37,2024-03-10,2053,N21,VIIRS,n,2.0NRT,296.17,1.51,N,jamnagar,VIIRS_NOAA21_NRT
22.36481,69.93446,330.58,0.77,0.77,2024-03-12,928,N21,VIIRS,l,2.0NRT,303.93,6.43,D,jamnagar,VIIRS_NOAA21_NRT
22.28065,69.9313,339.39,0.37,0.58,2024-03-13,907,N21,VIIRS,l,2.0NRT,311.12,3.37,D,jamnagar,VIIRS_NOAA21_NRT
22.33848,69.85483,315.42,0.38,0.36,2024-03-15,2057,N21,VIIRS,n,2.0NRT,300.64,3.57,N,jamnagar,VIIRS_NOAA21_NRT
22.54492,70.21075,343.68,0.32,0.55,2024-03-17,752,N21,VIIRS,l,2.0NRT,314.64,4.17,D,jamnagar,VIIRS_NOAA21_NRT
22.54611,70.21026,339.81,0.32,0.55,2024-03-17,752,N21,VIIRS,l,2.0NRT,314.4,2.84,D,jamnagar,VIIRS_NOAA21_NRT
22.20739,70.25624,338.51,0.65,0.73,2024-03-18,733,N21,VIIRS,n,2.0NRT,312.21,7.34,D,jamnagar,VIIRS_NOAA21_NRT
22.2125,70.25433,338.46,0.65,0.73,2024-03-18,733,N21,VIIRS,n,2.0NRT,312.8,7.55,D,jamnagar,VIIRS_NOAA21_NRT
22.36656,69.93098,353.86,0.48,0.64,2024-03-18,913,N21,VIIRS,n,2.0NRT,314.76,6.34,D,jamnagar,VIIRS_NOAA21_NRT
22.35038,69.94054,298.68,0.46,0.63,2024-03-18,2144,N21,VIIRS,n,2.0NRT,288.01,0.74,N,jamnagar,VIIRS_NOAA21_NRT
22.21297,70.16289,349.6,0.41,0.37,2024-03-20,837,N21,VIIRS,l,2.0NRT,323.35,12.75,D,jamnagar,VIIRS_NOAA21_NRT
22.31848,70.00185,348.21,0.53,0.5,2024-03-22,801,N21,VIIRS,n,2.0NRT,319.3,16.94,D,jamnagar,VIIRS_NOAA21_NRT
22.34951,70.05142,336.85,0.62,0.71,2024-03-23,922,N21,VIIRS,n,2.0NRT,288.11,5.33,D,jamnagar,VIIRS_NOAA21_NRT
22.53314,70.21236,343.43,0.62,0.54,2024-03-24,902,N21,VIIRS,l,2.0NRT,313.94,7.41,D,jamnagar,VIIRS_NOAA21_NRT
22.25227,70.02267,341.79,0.47,0.4,2024-03-25,843,N21,VIIRS,l,2.0NRT,315.74,8.75,D,jamnagar,VIIRS_NOAA21_NRT
22.20041,70.10086,343.25,0.42,0.45,2024-03-27,805,N21,VIIRS,n,2.0NRT,311.24,6.45,D,jamnagar,VIIRS_NOAA21_NRT
22.20148,70.09972,343.81,0.42,0.45,2024-03-27,805,N21,VIIRS,n,2.0NRT,311.63,4.39,D,jamnagar,VIIRS_NOAA21_NRT
22.34209,70.26624,338.2,0.41,0.45,2024-03-27,805,N21,VIIRS,l,2.0NRT,312.03,5.17,D,jamnagar,VIIRS_NOAA21_NRT
22.39915,70.03585,337.16,0.78,0.78,2024-03-28,928,N21,VIIRS,n,2.0NRT,300.59,7.17,D,jamnagar,VIIRS_NOAA21_NRT
